,יום מכירה,מחיר עסקה,כתובת,גוש חלקה,מ״ר,סוכ נכס  מספר חדרים קומה
261,15/09/2016,"₪2,420,000",אריסטובול 6,6212-1150-3,32,דירה בבית קומות 2 ראשונה
262,11/09/2016,"₪2,385,000",אבן גבירול 176,6212-1015-22,73,דירה בבית קומות 3 קרקע
263,17/08/2016,"₪2,500,000",יעקב דה-האז 12,6212-589-8,33,דירה בבית קומות 2 ראשונה
264,13/07/2016,"₪3,000,000",חוני המעגל 10,6212-616-16,60,דירה בבית קומות 3 שלישית
265,23/05/2016,"₪1,440,000",לואי מרשל 6,6212-609-7,41,דירה בבית קומות 2 ראשונה
266,20/04/2016,"₪4,000,000",פנקס 15,6212-612-4,118,דירה בבית קומות 4 ראשונה
267,17/03/2016,"₪2,150,000",אנטיגונוס 7,6212-600-10,50,דירה בבית קומות 2 שניה
268,15/03/2016,"₪2,326,000",מרים החשמונאית 26,6212-1191-4,75,דירה בבית קומות 3 ראשונה
269,10/03/2016,"₪7,420,000",אריסטובול 1,6212-548-3,154,דירה בבית קומות 6 ראשונה ושניה
270,21/02/2016,"₪1,450,000",דה האז 26,6212-926-14,52,דירה בבית קומות 2 שלישית
271,18/02/2016,"₪2,025,000",לואי מרשל 6,6212-609-5,33,דירה בבית קומות 2 ראשונה
272,10/02/2016,"₪3,040,000",אנטיגונוס 11,6212-598-6,69,דירה בבית קומות 3 שניה
273,18/01/2016,"₪2,775,000",אבן גבירול 176,6212-1015-7,66,דירה בבית קומות 2.5 ---
274,14/01/2016,"₪2,850,000",ברנדייס 9,6212-1148-1,64,דירה בבית קומות 2 קרקע
275,23/12/2015,"₪2,500,000",פנקס 25,6212-928-40,60,דירה בבית קומות 2 ראשונה
276,19/11/2015,"₪3,920,000",לואי מרשל 22,6212-567-1,83,דירה בבית קומות 4 ראשונה
277,17/11/2015,"₪3,000,000",מרים החשמונאית 9,6212-1032-12,66,דירה בבית קומות 3 -------
278,03/11/2015,"₪2,480,000",פנקס 11,6212-1260-19,52,דירה בבית קומות 2.5 שניה
279,03/11/2015,"₪7,900,000",יהודה המכבי 16,6212-547-16,150,דירה בבית קומות 5 חמישית
280,29/10/2015,"₪2,770,000",יעקב דה-האז 10,6212-588-5,54,דירה בבית קומות 2 ראשונה
281,10/09/2015,"₪3,075,000",חוני המעגל 6,6212-991-17,64,דירה בבית קומות 2 שניה
282,09/09/2015,"₪2,210,000",מרים החשמונאית 3,6212-1029-7,53,דירה בבית קומות 2 עמודים
283,08/09/2015,"₪2,850,000",דה האז 24,6212-955-3,53,דירה בבית קומות 3 ראשונה
284,07/09/2015,"₪3,500,000",מרים החשמונאית 15,6212-971-8,100,דירה בבית קומות 3 ראשונה
285,04/09/2015,"₪2,560,000",דה האז 24,6212-955-6,70,דירה בבית קומות 3 שניה
286,13/07/2015,"₪2,200,000",יעקב דה-האז 12,6212-589-12,33,דירה בבית קומות 2 שניה
287,23/06/2015,"₪1,699,000",אנטיגונוס 15,6212-1250-15,46,דירה בבית קומות 2 שלישית
288,18/06/2015,"₪2,075,000",יהודה המכבי 16,6212-547-10,32,דירה בבית קומות 2 שלישית
289,05/06/2015,"₪2,575,000",פנקס 25,6212-928-41,60,דירה בבית קומות 3 שניה
290,01/06/2015,"₪2,000,000",פנקס 15,6212-612-3,50,דירה בבית קומות 2 קרקע
291,31/05/2015,"₪450,000",יעקב דה-האז 1,6212-583-2,39,חנות  קרקע
292,27/05/2015,"₪2,520,000",יעקב דה-האז 5,6212-564-3,62,דירה בבית קומות 2 ראשונה
293,11/05/2015,"₪2,850,000",לואי מרשל 21,6212-636-5,58,דירה בבית קומות 3 ראשונה
294,26/04/2015,"₪1,970,000",פנקס 17,6212-1271-20,45,דירה בבית קומות 2 שלישית
295,20/04/2015,"₪2,920,000",יעקב דה-האז 6,6212-1040-11,78,דירה בבית קומות 3 שלישית
296,30/03/2015,"₪2,680,000",מרים החשמונאית 9,6212-1032-5,66,דירה בבית קומות 3 -----
297,18/03/2015,"₪3,200,000",לואי מרשל 7,6212-1276-16,57,דירה בבית קומות 3 שניה
298,01/03/2015,"₪3,000,000",אריסטובול 10,6212-556-15,68,דירה בבית קומות 3 שלישית
299,26/02/2015,"₪2,440,000",מרים החשמונאית 9,6212-1032-4,66,דירה בבית קומות 3 -----
300,05/02/2015,"₪2,275,000",חוני המעגל 6,6212-991-17,51,דירה בבית קומות 2 שניה
301,19/01/2015,"₪1,890,000",אנטיגונוס 9,6212-599-12,33,דירה בבית קומות 2 שניה
302,15/01/2015,"₪2,260,000",יעקב דה-האז 5,6212-564-5,68,דירה בבית קומות 3 שלישית
303,30/12/2014,"₪2,100,000",יעקב דה-האז 28,6212-927-6,55,דירה בבית קומות 2 ראשונה
304,26/11/2014,"₪2,750,000",חוני המעגל 6,6212-991-7,66,דירה בבית קומות 3.5 ראשונה
305,25/11/2014,"₪4,200,000",יהודה המכבי 16,6212-547-6,115,דירה בבית קומות 4 רביעית
306,03/11/2014,"₪2,025,000",אנטיגונוס 9,6212-599-16,33,דירה בבית קומות 2 שלישית
307,03/11/2014,"₪2,220,000",לואי מרשל 11,6212-1252-10,52,דירה בבית קומות 2 שלישית
308,07/10/2014,"₪4,350,000",יהודה המכבי 16,6212-547-5,120,דירה בבית קומות 5 רביעית
309,17/09/2014,"₪2,100,000",חוני המעגל 6,6212-991-56,57,דירה בבית קומות 3 ראשונה
310,27/08/2014,"₪2,300,000",יעקב דה-האז 16,6212-591-10,53,דירה בבית קומות 2 שניה
311,05/08/2014,"₪3,695,000",ברנדייס 3,6212-1149-1,86,חנות  קרקע
312,02/07/2014,"₪1,690,000",אנטיגונוס 13,6212-597-6,45,דירה בבית קומות 2 שלישית
313,19/06/2014,"₪1,950,000",אנטיגונוס 11,6212-598-7,57,דירה בבית קומות 2.5 שניה
314,01/05/2014,"₪2,000,000",אבן גבירול 172,6212-1031-15,73,דירה בבית קומות 3 שלישית
315,13/03/2014,"₪2,250,000",ברנדייס 1,6212-959-4,70,דירה בבית קומות 2 ראשונה
316,16/02/2014,"₪2,250,000",אנטיגונוס 13,6212-597-7,57,דירה בבית קומות 3 ראשונה
317,27/12/2013,"₪2,225,000",מרים החשמונאית 9,6212-1032-14,66,דירה בבית קומות 3 -------
